"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belgium","BEL","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","28.945","30.315","29.749","26.951","28.653","23.437","20.152","19.159","17.112","15.177","19.624","23.37","23.685","24.406","25.701","23.038","22.431","18.156","16.626","15.169","17.501","19.51","22.058","22.566","20.882","18.72","22.49","22.366","18.743","18.871","22.474","22.335","20.048","18.155","18.035","15.264","12.275","15.119","16.182","14.444","14.353","14.754","",
"Benin","BEN","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.233","","","","","","0.75","","","","","","","","","","0.609","","","","","","","","3.111","5.945","","3.32","","","","","","2.671","","","2.714","","","",
"Burkina Faso","BFA","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.872","","","","","","","","12.528","","","","8.388","2.139","","","3.134","8.809","8.728","",
"Bangladesh","BGD","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","6.65","","","2.271","","","","","","","5.699","","","","10.287","","","5.834","","13.602","12.582","","","","7.02","9.638","","9.609","","","12.3","16.797","","","","","7.894","4.721","5.023","",
"Bulgaria","BGR","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.923","","","29.628","35.433","31.483","24.056","23.782","21.036","20.276","15.938","11.368","13.826","20.098","23.622","25.999","25.665","23.741","22.257","16.914","12.447","11.889","8.201","13.681","15.14","10.383","11.134","11.682","",
"Bahrain","BHR","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.892","","","","","","","","","","27.076","","","","","","","","","11.641","14.313","12.235","","","7.673","","","","","","","","","","",
"Bahamas, The","BHS","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.443","24.566","30.99","26.022","28.04","23.954","29.617","28.481","21.705","21.972","","16.57","","28.218","","24.054","","21.684","20.22","30.095","","","32.178","","","","31.639","","","20.057","","","","17.116","","",
"Bosnia and Herzegovina","BIH","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.662","","","","","65.718","63.121","52.299","52.719","61.276","60.462","63.969","59.196","65.409","67.344","58.913","51.362","45.458","37.939","42.752","40.676","38.065","30.346","32.881","",
"Belarus","BLR","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.168","","","","","","","","","","12.609","","","","","","","8.494","7.24","8.373","7.344","10.093","9.597","9.825","9.007","9.022","",
"Belize","BLZ","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","SL.UEM.1524.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.202","","","","","","","","","","","","","","","","","","35.581","26.374","28.906","25.513","25.66","24.776","32.037","28.53","","","","","","",
